物資名稱,數量,位置,所屬活動,類別
紙扇,7把,架1層1箱1,滿FUN學堂,活動用具/遊戲道具
木箱(含鎖),2個,架1層1箱1,滿FUN學堂,活動用具/遊戲道具
孔明扇,12把,架1層1箱1,滿FUN學堂,活動用具/遊戲道具
食物包裝袋,2個,架1層1箱2,滿FUN學堂,煮食用品
食用鐵匙羮,2隻,架1層1箱2,滿FUN學堂,煮食用品
飯勺,1個,架1層1箱2,滿FUN學堂,煮食用品
量杯,1個,架1層1箱2,滿FUN學堂,煮食用品
食用刀,10把,架1層1箱2,滿FUN學堂,煮食用品
食用叉,22隻,架1層1箱2,滿FUN學堂,煮食用品
食用匙羮,13隻,架1層1箱2,滿FUN學堂,煮食用品
砧板,10塊,架1層1箱2,滿FUN學堂,煮食用品
食用碟,10隻,架1層1箱2,滿FUN學堂,煮食用品
食用杯,12個,架1層1箱2,滿FUN學堂,煮食用品
食用碗,13個,架1層1箱2,滿FUN學堂,煮食用品
食物盤,10個,架1層1箱2,滿FUN學堂,煮食用品
食物印模套裝,4套,架1層1箱2,滿FUN學堂,煮食用品
壽司模具,5個,架1層1箱2,滿FUN學堂,煮食用品
爬行隧道,6個,架1層1,滿FUN學堂,活動用具/遊戲道具
繩梯,1套,架1層1,滿FUN學堂,活動用具/遊戲道具
跳跳圈,1套,架1層1,滿FUN學堂,活動用具/遊戲道具
平衡木,6個,架1層1,滿FUN學堂,活動用具/遊戲道具
禮物套裝,13套,架1層2箱1,／,禮物/紀念品
海洋透冰燈,3個,架1層2箱1,／,禮物/紀念品
星形小夜燈,10個,架1層2箱1,／,禮物/紀念品
聖誕節禮物套裝,2套,架1層2箱1,／,禮物/紀念品
青蛙環保袋,5個,架1層2箱2,／,禮物/紀念品
環保袋,8個,架1層2箱2,／,禮物/紀念品
文具套裝,79套,架1層2箱2,／,禮物/紀念品
動物紙拼圖,171個,架1層2箱2,／,禮物/紀念品
圓形拼圖鎖匙扣,208個,架1層2箱2,／,禮物/紀念品
心型燈,2個,架1層2箱2,／,禮物/紀念品
鱷魚牙醫,10個,架1層2箱2,／,禮物/紀念品
井字棋,10個,架1層2箱2,／,禮物/紀念品
彩虹減壓按按樂,10個,架1層2箱2,／,禮物/紀念品
四驅小車,15個,架1層2箱2,／,禮物/紀念品
水彩塗色本,12本,架1層2箱2,／,禮物/紀念品
恐龍水槍,10個,架1層2箱2,／,禮物/紀念品
木顏色筆,15個,架1層2箱2,／,禮物/紀念品
恐龍橡皮擦,18個,架1層2箱2,／,禮物/紀念品
貓頭鷹筆刨,14個,架1層2箱2,／,禮物/紀念品
乒乓球,63個,架1層2箱3,滿FUN學堂,活動用具/遊戲道具
彈彈球,30個,架1層2箱3,滿FUN學堂,活動用具/遊戲道具
籃球泵,3個,架1層2箱3,滿FUN學堂,活動用具/遊戲道具
籃球,13個,架1層2箱3,滿FUN學堂,活動用具/遊戲道具
網球,1個,架1層2箱3,滿FUN學堂,活動用具/遊戲道具
排球,1個,架1層2箱3,滿FUN學堂,活動用具/遊戲道具
塑膠球,27個,架1層2箱3,滿FUN學堂,活動用具/遊戲道具
大毛巾,4條,架1層2箱3,滿FUN學堂,活動用具/遊戲道具
小棉球,27個,架1層2箱3,滿FUN學堂,活動用具/遊戲道具
手棉球,3個,架1層2箱3,滿FUN學堂,活動用具/遊戲道具
杯,23個,架1層2箱4,滿FUN學堂,活動用具/遊戲道具
運蛋遊戲,1套,架1層2箱4,滿FUN學堂,活動用具/遊戲道具
